0,1,2
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv3,dv1,0.5
dv4,dv1,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
dv4,dv55,0.5
